      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
    -0.78354    -1.75698     0.85546    -1.54792    16.36198    66.28410     2.41383     1.73125
     1.80395     0.09164    -0.38139    -0.44699    25.91950    75.12109     1.88423     2.17534
     1.23591     3.07685    -1.52266    -0.93326    24.35120    73.40784     2.05631     2.17105
    -0.20401     0.95048     1.03244     1.18154    23.22737    72.25399     2.20851     2.24069
     0.15033    -0.65934     1.79485     0.69229    23.09506    72.11708     2.16754     2.19056
     2.72009    -0.40078    -0.09690     1.20757    27.89837    77.49892     1.51820     1.89160
     0.49429    -0.21315     1.01324    -1.40618    22.53364    71.55107     2.13369     2.12642
    -0.86965    -1.82865     2.88112    -0.68529    17.70367    67.25429     2.31707     1.78452
     0.56260    -1.88819    -1.04507    -0.44294    20.43215    69.55318     2.40951     2.21116
    -1.22375    -0.78571    -0.02250     0.11021    15.27974    65.53988     2.62890     1.84124
     0.95892     0.92347     0.12343    -0.17847    24.94524    74.04145     2.01299     2.18863
     0.78689     1.19627    -2.15620    -1.01259    21.36827    70.41666     2.26088     2.17292
    -0.01826    -1.00495     0.34353     0.77790    21.47925    70.53117     2.34336     2.25274
     1.17885     0.65935    -1.01372    -0.02412    24.53142    73.60329     2.09688     2.23438
     0.27451     1.01430     0.14459     0.14671    23.39983    72.42882     2.19084     2.23485
    -1.10506     0.39859     0.60282    -0.67107    17.45249    67.08468     2.50178     1.90325
     1.40160     0.55381    -0.26025     1.45243    26.37103    75.64689     1.83915     2.18262
    -1.49126     0.79584    -0.10385    -0.38108    15.09931    65.41456     2.60772     1.81856
    -0.71183     1.10996     0.43279     0.13988    20.23525    69.37615     2.42704     2.20260
    -2.05714    -0.41736    -0.62023     0.10821    10.34665    62.09312     2.52980     1.88678
    -0.44851    -1.87170    -1.51901    -0.57656    15.13576    65.43920     2.58331     1.80137
     1.21975    -0.26033     1.47307    -0.04760    25.45721    74.59560     1.90715     2.13706
     1.21726    -0.58733    -2.43802    -1.34342    21.12932    70.18970     2.27667     2.16704
     1.80572    -1.44947    -1.56911    -1.04712    23.69457    72.72799     2.13834     2.20130
     2.65821     0.24609     1.31937    -0.24651    27.82503    77.40634     1.53802     1.91791
     0.49105    -1.30066     0.77599    -1.66342    21.37245    70.41525     2.19713     2.11726
    -1.08263     0.31147     1.20058     0.77073    19.15350    68.43567     2.47634     2.10527
    -0.71737    -0.96389     0.27848    -0.60050    17.48790    67.11335     2.51746     1.92097
    -0.43022     2.18348     1.59811     0.33744    23.07954    72.10144     2.16745     2.18942
    -0.02583    -0.53845    -0.28315    -1.83787    19.27634    68.52505     2.37484     2.03747
    -1.74309    -0.40626     0.45546    -1.20717    13.02976    63.99848     2.52637     1.75934
     1.73328     0.77731     0.11509     0.47042    26.82471    76.18464     1.75598     2.13841
    -0.74109     1.10833     0.73825    -0.61010    19.85495    69.02911     2.38127     2.11881
    -1.85038     1.19379     0.42382    -0.86223    14.33844    64.89251     2.54904     1.76087
     0.30476     0.55426    -1.03414    -0.05328    21.66846    70.71468     2.35467     2.27901
    -2.31742    -0.40040     0.13432     0.67041    10.75371    62.39108     2.54074     1.86990
    -1.28464     1.24300    -2.12593     0.34119    14.13523    64.75413     2.51393     1.73449
     0.34976     0.41824     0.91386    -1.50856    22.44492    71.46249     2.12971     2.11759
    -0.35595    -0.94532     0.28329    -0.40065    19.25408    68.51731     2.45196     2.09889
    -1.12710     2.06794    -1.57380     0.58281    16.44230    66.34695     2.50123     1.80621
    -0.44930    -2.44743     0.01261    -1.02277    16.57574    66.44158     2.49054     1.80868
    -1.43161    -0.60339    -0.24317     1.65853    15.16417    65.46081     2.65065     1.85407
     0.13399    -0.76015    -1.22022    -1.31086    18.73257    68.08327     2.46111     2.03574
     0.86857    -0.21761     0.37477     1.51526    25.17414    74.28941     1.98494     2.18538
     0.28871     0.04948    -0.63772    -0.48837    21.47892    70.53171     2.35471     2.26370
    -1.17881    -1.41024    -0.09467     1.11134    15.49391    65.68822     2.62682     1.84839
     2.07884    -0.06839     1.26752    -0.05076    27.01733    76.41405     1.68262     2.07732
     0.99048    -1.82044    -1.23535     0.69857    22.52401    71.54917     2.26165     2.24854
    -0.32225    -0.02696     1.41006     0.42724    21.73341    70.77298     2.29702     2.23130
     0.10756     0.03850     0.18618    -0.29389    21.87769    70.91406     2.30154     2.24523
     0.96653     0.05043     0.56285    -0.25355    24.64181    73.71430     2.02627     2.16731
     1.68647     0.86266    -0.28489     0.55394    26.64576    75.97162     1.79659     2.16558
     0.26387    -0.15455     0.92137     0.07323    23.01371    72.03632     2.19176     2.21038
    -0.36560     0.76794     0.23957    -0.73417    20.43920    69.55454     2.36752     2.17625
    -1.18283     0.23257     0.34850     1.23838    18.00516    67.51793     2.58151     2.03676
    -1.31966    -0.34053    -0.05919    -1.19125    14.35622    64.90490     2.57553     1.78084
    -0.50556     1.65263    -0.51092     1.09881    20.93437    70.02131     2.42715     2.27784
     0.17946     0.52138    -0.34270    -0.50249    21.78269    70.82287     2.32034     2.25577
    -1.01186    -0.76042     1.10365     0.03791    17.69548    67.26799     2.49170     1.92504
    -0.70155     0.15229     0.03412    -1.20800    17.94100    67.45441     2.47802     1.94214
    -0.20006    -0.74489     0.82000    -0.08629    20.76493    69.85448     2.35514     2.20056
    -0.20031     1.45506    -1.04150     0.34986    20.63622    69.74151     2.41363     2.23713
     0.81160     0.19332    -0.73560     0.22885    23.71151    72.74897     2.18532     2.25281
    -0.65957     0.00355    -0.22036     0.14915    18.61837    68.00239     2.54863     2.09131
    -0.45184     0.74665    -0.11158     0.01855    20.24539    69.38784     2.44652     2.22016
    -0.49782     0.11360    -0.29284    -0.52045    18.82443    68.16499     2.50478     2.08335
     2.06246    -0.19786     1.79724     0.54660    27.28919    76.74713     1.62737     2.03060
    -0.60269    -0.83067    -0.98624    -0.94374    15.99168    66.03355     2.57845     1.83708
    -0.22465    -0.52952    -0.34792    -0.04649    19.71998    68.92413     2.48184     2.18495
     1.16987     1.32984     0.53634    -0.61210    25.49995    74.64494     1.91478     2.15182
     1.01554     0.61587     1.13888    -0.63994    25.01078    74.10649     1.95566     2.13238
    -0.13251    -0.12114    -2.23853     1.45452    18.75585    68.09881     2.43741     2.01694
    -1.87944     0.80509    -1.38403     0.39601    11.69353    63.06644     2.53593     1.81663
    -0.08212    -0.67416     0.49365     1.40200    22.06808    71.10108     2.30613     2.26144
