      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.96788     0.87654     1.67910    25.08691    74.19529     1.99970     2.19167
    -1.32822    -1.28381    -0.15020    15.95699    65.87166     2.63840     2.01656
     0.16288    -0.04362    -0.93583    20.75374    69.84010     2.34917     2.20222
    -1.39375    -1.36560    -0.37531    15.37958    65.43854     2.64171     1.99077
    -0.07849     0.04189     0.99945    22.29083    71.32126     2.32112     2.29307
     1.17504     1.50081     0.05252    24.53383    73.59389     1.97198     2.09539
     0.00657    -0.56537     0.72009    20.99591    70.07714     2.44127     2.30516
    -0.23422    -0.09281    -1.80722    19.24399    68.48042     2.36497     2.05597
    -0.97482    -0.31352    -1.48531    17.76838    67.26787     2.48958     2.01405
    -0.58281    -0.31571     0.25451    20.18738    69.33077     2.47399     2.25471
    -0.94921    -0.65869    -0.35141    18.16769    67.59891     2.56958     2.12067
    -0.64029    -0.99450    -0.53770    17.73816    67.25278     2.59068     2.09924
    -1.75045    -1.50806    -1.93665    12.73604    63.51632     2.58033     1.86876
