      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     2.06246    -0.19786     1.79724     0.54660    26.51929    75.80639     1.70380     2.05904
    -0.60269    -0.83067    -0.98624    -0.94374    16.68842    66.42581     2.56834     2.00140
    -0.22465    -0.52952    -0.34792    -0.04649    19.95143    69.11478     2.45184     2.21054
     1.16987     1.32984     0.53634    -0.61210    25.26303    74.38018     1.92042     2.12541
     1.01554     0.61587     1.13888    -0.63994    24.63441    73.70137     1.97478     2.10910
    -0.13251    -0.12114    -2.23853     1.45452    20.27090    69.40683     2.47396     2.26402
    -1.87944     0.80509    -1.38403     0.39601    12.74481    63.52305     2.53889     1.83510
    -0.08212    -0.67416     0.49365     1.40200    21.95565    70.98969     2.30118     2.25158
    -0.15492    -1.03855    -0.41563     1.85403    21.04058    70.11229     2.36557     2.24090
     0.67402     0.30943     0.41220    -0.79335    23.31848    72.34130     2.11970     2.15586
     1.32630    -2.48582     1.68916     0.51452    23.89511    72.91456     1.84502     1.89152
    -2.04634    -1.76775    -1.10354    -0.26248     9.17367    60.84920     2.39829     1.99369
     0.97088     1.31053     0.14950    -0.55886    24.80103    73.88244     1.99397     2.14935
     0.31118     0.82576    -1.18141    -1.34958    21.41069    70.46019     2.30296     2.21554
    -0.05890    -1.31661    -0.70727     0.46029    20.05243    69.20151     2.41373     2.18762
     1.02622     1.20351    -0.95300    -0.52932    24.46858    73.53185     2.05362     2.17908
     0.45980     0.74156    -0.80824     0.07819    23.23575    72.26399     2.22984     2.26479
    -0.73946     1.56794     1.93146     3.37951    23.47725    72.51165     2.24158     2.29381
     0.02422    -0.81946     0.98193    -2.06188    19.68925    68.85604     2.24705     2.00504
    -0.18085    -0.08032     0.30873     0.48372    21.40167    70.45782     2.37738     2.28218
     0.27001    -1.09583    -0.62880     1.98532    22.42429    71.44777     2.23096     2.21287
     2.69832     0.49645     0.95564     0.07293    27.25454    76.70131     1.61930     2.02233
    -0.36124    -1.28946     2.05026     1.01400    20.99116    70.05915     2.29936     2.17865
     0.83631    -0.01096    -1.29617    -1.00646    22.56165    71.58234     2.19482     2.18837
    -0.62007     0.20929     1.54891    -2.13719    18.61546    67.94623     2.35917     1.98117
     1.43258    -1.12052     0.66736    -1.10774    23.60302    72.62246     1.94458     1.98858
     0.58330    -0.24290     0.02640    -1.81789    21.60147    70.63409     2.16604     2.10607
     0.54392     1.75943    -1.01974    -0.22328    23.82813    72.86798     2.16167     2.23715
     0.33689    -0.90846    -0.46566    -0.00332    21.61512    70.65641     2.28689     2.21617
     0.81526    -1.40280     0.49314    -0.86439    22.26699    71.28383     2.09504     2.07604
    -1.80658    -1.10638    -0.24523    -1.23703    10.78677    62.10415     2.50733     1.89379
    -1.19551     1.20341    -0.30211    -0.02560    17.17906    66.81046     2.60900     2.06940
    -2.25894     0.35305    -1.64558    -0.69140     9.52728    61.14247     2.37420     1.92346
     0.38185    -1.61904    -1.32371    -0.04443    20.63778    69.72991     2.32965     2.17364
    -0.23678     0.32149     3.14125     1.55995    23.68107    72.71509     2.15276     2.21572
    -0.91889     1.62233     1.72950     0.05680    20.62891    69.73316     2.44006     2.26941
    -0.45118     1.12277     1.57999     0.11723    21.96426    71.00075     2.33758     2.28670
     1.04952     1.16433    -0.59657     2.16545    26.25751    75.51769     1.88561     2.21844
     1.06188    -0.75478    -1.07927    -0.04836    23.42476    72.44890     2.10607     2.14819
    -0.14537    -1.07483    -1.92139    -0.42076    18.22003    67.63700     2.52165     2.08420
    -0.95793    -0.43561    -1.95012     1.11846    16.12002    65.99333     2.60346     1.99814
     0.70395    -0.47538    -1.64825     1.42909    23.37813    72.40611     2.18415     2.22647
     1.57119    -1.02030    -1.02437    -1.07150    23.52828    72.54871     1.99702     2.04001
    -0.14870    -0.42609    -0.07609    -2.01719    18.86649    68.15798     2.36761     2.01627
     0.25360    -0.73171    -0.20514     1.97840    22.92094    71.94344     2.20668     2.21878
    -0.46940     0.12342    -0.19389    -0.54198    19.23316    68.48725     2.50101     2.17378
