      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     1.61176     2.13938     1.38461    26.53343    75.83292     1.77050     2.12901
    -0.10045    -0.57260    -0.21918    19.87564    69.06070     2.47761     2.20149
    -1.09638    -1.14740    -0.82138    15.89456    65.96883     2.63995     1.87985
     1.63262     1.41818     0.83730    25.64858    74.81259     1.90756     2.16424
     1.04255     1.32293    -0.30199    23.91072    72.94393     2.02823     2.09917
     1.13728     0.75439     1.37688    25.08606    74.19607     2.01561     2.20886
    -0.46822    -0.29071    -0.82204    19.17604    68.45379     2.47032     2.10305
    -0.78354    -1.45147     0.59220    17.29182    66.97684     2.61368     1.97819
    -1.54792    -0.64267    -1.64561    15.27715    65.53552     2.55232     1.78208
    -0.38139    -0.53433     0.66132    20.40135    69.53469     2.48485     2.26967
     3.07685     2.14760     2.09091    27.82804    77.40849     1.56290     1.94023
    -0.20401     0.21590     0.17731    21.59622    70.64548     2.36019     2.27706
     1.18154     1.13471     0.36158    24.58754    73.65613     2.02567     2.16071
     1.79485     1.91938     2.72150    27.31486    76.78034     1.64185     2.04426
    -0.40078    -0.40426     0.50961    20.49036    69.61500     2.47588     2.27220
     0.49429     0.35828     1.05385    23.65276    72.68843     2.18944     2.25164
    -1.40618    -1.64178    -1.83015    12.96475    63.95199     2.59397     1.81051
     2.88112     2.32330     2.60325    28.07075    77.70567     1.50275     1.85191
    -1.88819    -2.15281    -1.23874    10.99739    62.56625     2.57308     1.87968
    -1.22375    -1.44096    -0.59979    15.06349    65.39177     2.66508     1.86209
     0.11021     0.50437     0.32590    22.64760    71.67267     2.26228     2.25742
     0.12343     0.03664     0.64073    22.29077    71.32196     2.32348     2.29289
     1.19627     0.17527     0.94378    24.00659    73.05289     2.14816     2.23805
    -0.01826    -0.44041     0.54807    21.09553    70.17322     2.42682     2.29253
     0.77790     1.20252     0.55177    24.45080    73.51277     2.05327     2.17641
    -1.01372    -0.92932    -0.52872    16.93966    66.71732     2.62671     1.95231
     1.01430     0.98066     0.75161    24.67561    73.75246     2.04433     2.19129
    -1.10506    -0.83386    -0.53228    16.95753    66.73021     2.62405     1.95194
    -0.67107    -0.01733    -0.60439    19.50936    68.73773     2.46153     2.14085
    -0.26025     0.37660    -1.61585    19.92740    69.07931     2.27521     2.03930
     0.79584     0.67780     0.35358    23.73674    72.77183     2.14167     2.20810
    -0.71183    -0.17728    -0.60842    19.13639    68.42349     2.49215     2.11584
     0.13988    -0.74079     0.54380    20.66391    69.77150     2.44836     2.26843
    -0.62023    -0.51673    -0.75202    18.49205    67.89705     2.52737     2.05669
    -1.87170    -2.33774    -1.14793    10.69772    62.34958     2.55252     1.88187
     1.21975     0.99616     1.86558    25.75147    74.93208     1.92053     2.19207
    -0.04760     0.47023    -0.81990    21.13900    70.20000     2.28554     2.17478
    -2.43802    -2.77718    -0.11182     9.66377    61.58920     2.43384     1.85976
    -1.44947    -1.97603    -1.13021    12.58972    63.69169     2.61879     1.84012
     2.65821     2.51401     2.60119    28.03946    77.66909     1.50129     1.85576
    -0.24651    -0.01641    -1.15620    19.74367    68.92999     2.37508     2.09951
     0.77599     0.00203     0.43648    22.83517    71.86047     2.25676     2.26448
     0.31147     0.78877     0.28785    23.22681    72.25225     2.19012     2.22197
    -0.71737    -1.05698     0.00422    17.84340    67.39596     2.61014     2.04048
    -0.60050    -0.72592     1.09600    19.95402    69.13526     2.51275     2.23945
     1.59811     1.59134     0.98551    25.88099    75.07519     1.87515     2.16038
    -0.53845    -0.60764    -1.43072    17.80107    67.34784     2.48862     1.93356
    -1.74309    -1.75182    -0.79406    12.78559    63.82671     2.64866     1.85573
    -1.20717    -0.36352    -0.95338    17.31694    66.98905     2.55188     1.93041
     0.11509     0.30276    -0.54561    21.43950    70.48900     2.30081     2.21258
     1.10833     1.31629     0.13903    24.44335    73.50156     2.01679     2.13525
    -1.85038    -1.17426    -1.43919    13.42724    64.27001     2.60537     1.80856
    -0.86223    -0.65326    -0.36060    18.10720    67.59840     2.58440     2.05285
    -1.03414    -0.96013    -2.15692    15.39129    65.61282     2.53034     1.76817
    -0.40040    -0.30639     0.09380    20.25527    69.40056     2.47536     2.24528
    -1.28464    -0.64054    -2.65794    15.29076    65.54159     2.47545     1.72211
     0.34119     0.45687     0.38039    22.95725    71.98207     2.23546     2.25055
     0.91386     0.19235     0.93495    23.76226    72.80079     2.17625     2.24702
    -0.94532    -0.73765    -1.00962    17.05074    66.79437     2.58023     1.92508
    -1.12710    -0.14977    -2.48553    16.74707    66.55621     2.40206     1.74875
     0.58281     0.33894    -0.97128    21.65299    70.68826     2.21206     2.14867
     0.01261    -0.41993    -0.53641    20.03143    69.19357     2.43512     2.18568
    -0.60339    -0.64966     0.70074    19.76465    68.96990     2.52787     2.22817
     0.13399    -0.19911    -0.40938    20.78135    69.87338     2.38597     2.22794
    -1.31086    -0.82223    -1.35188    15.68253    65.81788     2.59278     1.83071
     0.37477     0.97888    -0.07810    23.11688    72.13893     2.16205     2.18637
     0.04948    -0.22410    -0.05206    20.99987    70.08021     2.40249     2.26306
    -1.17881    -1.66362    -0.39880    14.79848    65.20921     2.66238     1.85304
     1.11134     1.88444     0.01951    24.70315    73.77235     1.94928     2.08770
     1.26752     1.12786     1.52455    25.68743    74.85952     1.92660     2.19018
    -1.82044    -2.17163    -0.41071    11.96001    63.25138     2.61188     1.85974
    -0.32225    -0.30356     0.66735    20.98811    70.07352     2.44121     2.29435
     0.42724     0.43274     0.28595    22.93617    71.96056     2.23186     2.24572
     0.18618     0.04486     0.83686    22.57894    71.60674     2.30122     2.29053
     0.05043     0.28311    -0.31715    21.56358    70.61015     2.31768     2.23702
     1.68647     1.89298     0.70437    25.87296    75.06263     1.85224     2.13437
     0.55394     0.61355     0.19985    23.23128    72.25672     2.18842     2.22075
     0.92137     0.86630     0.39017    24.11239    73.15923     2.09476     2.18924
     0.76794     0.79734    -0.00527    23.46354    72.49048     2.13717     2.18320
    -1.18283    -0.97439    -0.68892    16.26758    66.23262     2.63808     1.90342
     1.23838     0.56627     1.10662    24.73281    73.81590     2.06055     2.21612
    -0.05919    -0.55609     0.05153    20.27030    69.41307     2.46725     2.24060
     1.65263     1.28297     2.02002    26.44360    75.73042     1.81328     2.16365
     0.17946     0.38262    -0.26850    21.94483    70.97836     2.28337     2.23310
    -0.50249    -0.88238    -0.47990    18.17530    67.64973     2.56673     2.04721
     1.10365     1.01668     0.31932    24.36408    73.42091     2.05390     2.16853
     0.15229     0.15248    -0.66208    21.14106    70.20501     2.31704     2.20232
    -0.20006    -0.49556     0.63001    20.76913    69.87022     2.45596     2.28525
    -0.08629    -0.16272     0.92019    21.88619    70.92799     2.36934     2.30666
    -1.04150    -0.79678    -0.34025    17.39939    67.05817     2.61854     1.99445
     0.19332    -0.13496     0.53158    21.98306    71.02098     2.34910     2.29574
    -0.65957    -0.59654    -0.60060    18.39949    67.82563     2.54881     2.06202
     0.14915    -0.05533     0.72751    22.25371    71.28585     2.33054     2.29700
    -0.11158    -0.09334    -0.39632    20.61678    69.72240     2.40252     2.22485
     0.11360    -0.02051    -0.14593    21.35933    70.41752     2.36047     2.25860
     2.06246     1.78660     2.63660    27.37715    76.85672     1.63988     2.04129
     0.54660     0.24141     0.06912    22.57773    71.60242     2.25561     2.24709
    -0.98624    -1.29227    -0.50598    16.10383    66.11701     2.64842     1.90006
    -0.52952    -0.62686    -0.27983    18.93567    68.26265     2.54245     2.12984
     1.16987     1.62161     0.69692    25.28982    74.41254     1.94041     2.15154
    -0.61210    -0.12668    -0.39149    19.66462    68.87493     2.47669     2.17361
     1.13888     0.76273     0.93360    24.72826    73.81002     2.05165     2.20561
    -0.12114    -1.05396     1.59643    20.40739    69.53528     2.44625     2.23830
    -1.87944    -1.36454    -2.45852    12.16282    63.39690     2.53628     1.79612
     0.39601     0.32443    -0.11717    22.31501    71.34166     2.26359     2.23845
     0.49365     1.03891    -0.23395    23.15284    72.17395     2.13759     2.16354
    -1.03855    -1.11696     0.57818    17.58904    67.20280     2.62768     2.02380
     0.67402     0.74165     0.62326    23.95058    72.99300     2.13198     2.21509
    -0.79335    -0.15996    -2.56846    17.43038    67.05188     2.36506     1.78467
     1.68916     1.74858    -0.27764    24.76484    73.83416     1.90572     2.04547
    -1.76775    -2.06827    -1.02133    11.69559    63.06468     2.60622     1.86772
     0.97088     1.43304     0.32201    24.59780    73.66550     2.01014     2.14426
    -0.55886    -0.37548     0.01949    19.73916    68.94474     2.50854     2.20930
    -1.18141    -1.64039    -0.39907    14.85316    65.24683     2.66349     1.85514
    -1.31661    -1.49208    -0.38923    14.93417    65.30284     2.67334     1.86476
     1.02622     1.43807    -0.29324    23.99405    73.02950     2.01484     2.09121
    -0.52932    -0.28601    -0.06373    19.88392    69.07007     2.49198     2.21407
    -0.80824    -0.69986    -1.05549    17.39109    67.04513     2.55890     1.94390
     1.56794     2.23628     2.54980    27.23887    76.68678     1.64534     2.04779
     0.02422    -0.32366     0.91397    21.74392    70.79047     2.38087     2.30655
    -2.06188    -1.94580    -1.43024    10.92982    62.51763     2.56752     1.87932
     0.30873     0.48394     0.21875    22.78251    71.80655     2.24176     2.24587
    -1.09583    -1.25880     0.69370    17.20435    66.91369     2.63361     1.98510
     2.69832     2.65597     2.31525    27.97806    77.59400     1.51412     1.87672
     0.07293    -0.08623    -0.63266    20.65842    69.75709     2.36958     2.20152
     2.05026     2.28665     1.60924    27.05982    76.46693     1.68732     2.08352
    -0.01096    -0.55661    -0.19250    20.07935    69.24029     2.46323     2.21478
    -0.62007    -0.47396     0.46480    19.88212    69.07203     2.51722     2.23439
    -2.13719    -1.33360    -2.68950    11.53827    62.95826     2.49299     1.79288
     0.66736     0.13790     1.21318    23.65658    72.69273     2.19378     2.25666
    -0.24290    -0.20910    -1.31795    19.25405    68.50902     2.39515     2.05106
     0.54392     1.23524    -0.86355    22.71688    71.73176     2.08310     2.08487
    -0.22328    -0.06036    -0.84121    20.01877    69.17729     2.39793     2.15301
    -0.46566    -0.42362     0.18625    19.99697    69.17167     2.49987     2.23453
    -1.40280    -1.06394    -1.69230    14.58473    65.06135     2.59300     1.79633
    -1.80658    -2.10466    -1.03670    11.49920    62.92536     2.59827     1.87150
    -1.23703    -1.62585     0.29993    15.51261    65.70269     2.65985     1.87518
    -0.30211    -0.28473    -1.61782    18.75244    68.08943     2.39261     1.97941
     0.35305    -0.37393     0.37966    21.58433    70.63525     2.37482     2.28955
     0.38185    -0.33662    -0.00549    21.28894    70.35167     2.37640     2.26691
    -0.04443    -0.14015     0.25178    21.33763    70.40012     2.39462     2.28633
     3.14125     3.50612     1.08483    27.57484    77.09757     1.55940     1.95865
     1.62233     2.20042     0.57548    25.85775    75.04255     1.83499     2.11339
    -0.45118     0.06445     0.28825    21.03645    70.11632     2.41660     2.27819
     0.11723     0.54894     0.45056    22.84279    71.86755     2.24847     2.25602
    -0.59657     0.37238    -0.49665    20.37992    69.50320     2.39204     2.19070
    -0.75478    -1.13955    -0.18703    17.34838    67.02015     2.62154     1.99116
    -0.14537    -0.58513    -0.93587    19.01408    68.31675     2.46471     2.07642
    -0.42076    -0.78552    -0.23777    18.82230    68.16955     2.54835     2.11928
    -1.95012    -1.29646    -1.30753    12.99112    63.96992     2.61131     1.82241
    -0.47538    -1.12620     1.12974    19.24694    68.52310     2.53337     2.16444
     1.57119     0.99428     0.80799    25.21019    74.32903     1.97910     2.18461
    -1.07150    -1.03425    -0.96525    16.09267    66.10744     2.62331     1.87910
    -0.07609    -0.91976     0.79939    20.15999    69.31558     2.48358     2.24091
    -0.73171    -0.74996     0.79833    19.36709    68.62813     2.55063     2.19472
    -0.46940    -0.37355    -0.49223    19.35832    68.61253     2.49499     2.14815
    -0.54198    -0.28041    -0.92777    18.94780    68.26267     2.47319     2.07411
     0.06772     0.51796    -0.91783    21.27606    70.32808     2.25564     2.15990
    -0.34015     0.24428    -1.33855    19.83134    69.00141     2.33157     2.07451
    -0.48087    -1.01843     0.25503    18.67465    68.05168     2.57220     2.11868
    -0.49748    -1.03408     0.25367    18.60262    67.99344     2.57565     2.11173
    -0.23175     0.34138    -1.09147    20.39117    69.50437     2.31751     2.12913
    -0.72875    -0.45798    -0.55982    18.59947    67.98564     2.53872     2.08076
     0.86205     1.45869     1.25015    25.37255    74.50648     1.95314     2.17654
    -0.01670     0.04770     0.31169    21.76984    70.81353     2.35707     2.28745
    -0.98556    -0.80815    -0.88499    16.92078    66.70074     2.59864     1.92734
    -0.58821    -0.84154     0.78534    19.42914    68.68050     2.54447     2.19798
     0.28925     0.72710     0.37221    23.21549    72.24132     2.19928     2.23057
     0.73143     0.03551     0.76361    23.16466    72.19222     2.23741     2.26645
     0.38336     0.61644    -0.62555    22.13565    71.16074     2.20933     2.17635
     1.99911     1.97031     1.30312    26.64822    75.97024     1.75930     2.12839
     0.51605     0.52465     0.19005    23.06470    72.08894     2.20827     2.23021
    -0.38735    -0.03782    -0.59061    20.03413    69.19500     2.42746     2.17943
     1.21482     0.81928     0.91520    24.84109    73.93049     2.03547     2.20093
     0.79923     0.58060     1.81948    24.86241    73.95452     2.04603     2.21445
    -0.91520    -1.06994     0.61148    18.01749    67.53158     2.61185     2.06375
